Field	dcterm	Value type 	Value source	Index	Prefix
fulltitle	dc:title	#VALUE			
description	dc:description	#VALUE			
authors	dc:creator	#DICO	cvlist:people	3	https://orcid.org/
contacts	dc:creator	#DICO	cvlist:people	3	https://orcid.org/
collectors	dc:contributor	#DICO	cvlist:people	3	https://orcid.org/
curators	dc:contributor	#DICO	cvlist:people	3	https://orcid.org/
members	dc:contributor	#DICO	cvlist:people	3	https://orcid.org/
leader	dc:contributor	#DICO	cvlist:people	3	https://orcid.org/
wpleader	dc:contributor	#DICO	cvlist:people	3	https://orcid.org/
access_rights	dc:rights	#VALUE			
language	dc:language	#VALUE			
kindOfData	dc:type	#VALUE			
subject	dc:subject	#VALUE			
keywords	dc:subject	#ONTO	cv:bponto	1	
topics	dc:subject	#ONTO	cv:bponto	1	
resources	dc:relation	#VALUE	location		
